Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
671--Pig Iron and Iron & Steel Powder,58074693,100382842,315904397,393696700,291053085,406486028,620894454,62806016,219737071,188991269,123549285,128413195,204527568,149241395,64837594
667--Pearls; Precious & Semiprecious Stones,73658524,86643690,121802620,155968034,208325284,243876708,235275668,125924448,154164873,207899790,443868537,360346028,457019243,278179877,151599173
666--Pottery,930150063,987885165,988929662,1022293307,1103214230,1103082084,1022014442,827229999,1058295032,1033920969,1029229807,1092411660,1106482122,1234263726,1158786938
665--Glassware,263948035,327925930,373814431,419826102,503502798,595724468,668872481,581831963,735282301,832039110,934741760,1016237468,1126051494,1258282192,1223616922
664--Glass,295492804,331198619,416836974,524137559,620084489,674700361,641682439,545376091,735919438,800437193,827475983,907684476,1101595383,1288484340,1363217558
663--Mineral Manufactures,650653594,619999730,635606744,669709707,739398755,759409953,706279835,604726323,826662263,1191099901,1129017643,960450705,1098396042,1061261764,1198493235
662--Clay And Refractory Construction Materials,35993562,53855388,80905559,135525052,207620951,249885424,288072906,238533699,268626579,322659575,346959283,412914644,434368616,475152990,464433035
661--Lime; Cement & Fabricated Construction Materials,185581090,228676630,334749199,582516888,964605387,811529455,631027291,425645384,427777871,431613276,481080349,585650535,630647702,717629886,740456106
659--Floor Coverings,255918168,280663896,287095195,304735039,347794480,372176507,373071632,299923217,366884431,477474671,516430592,522658515,558005216,582285693,567012259
658--Made-Up Articles Of Textile Materials,1651170265,2358424079,3048916283,3949013647,4597514313,5097700704,5130203189,4652920107,5818046142,6151412264,6279833898,6721119780,7006313719,7597658015,7484662181
657--Special Yarns; Special Textile Fabrics; Etc.,92373869,133623084,205341591,295480293,333758541,371348667,444803778,405889657,547392151,655899571,757219633,844383076,955246155,1057016470,1057373943
656--Tulles; Lace; Embroidery; Ribbons; Trimmings; Etc,65200665,93111852,129286525,183854688,160858462,149921787,157249878,131861702,143038498,175102319,187600622,203891619,208614074,228395077,217640338
655--Knitted Or Crocheted Fabrics,39845687,50132605,56425117,132032767,120070467,146302081,155144878,176920379,233882376,318757917,414452235,437216441,454067864,483785431,473194024
654--Woven Fabrics Of Textile Material; Not Cotton Or,66653663,82753941,136665231,145466436,174327106,203071041,250679853,90530346,108314538,139505049,154919498,142085034,137580140,135651621,118151654
653--Woven Fabrics; Manmade Textile Material,101971056,114226006,124488659,228650911,281548454,305886905,307507046,256675271,315099471,386757233,409255508,449367331,463501260,489438865,438190823
652--Cotton Fabrics; Woven,189575230,184240105,165982136,192777287,241377130,245287372,241050490,181766983,256965481,290523836,274192225,269378902,256885889,269712188,230436251
651--Textile Yarn,50720186,68223283,100535672,174238658,216407772,245335757,295669075,196463746,351774948,407179179,412200643,437194993,503714980,504825773,466643880
642--Paper & Paperboard; Cut To Size Or Shape; Article,713746017,874169148,1072696817,1273067210,1387453613,1583440689,1764962412,1530991480,1895362004,2047704869,2207962658,2230092189,2366924108,2590884707,2719479943
641--Paper And Paperboard,78637844,148608707,190400542,262458525,432545842,509112926,507634023,480595562,315871741,287148791,345902530,377879905,413315157,375192116,361299520
635--Wood Manufactures,875775106,977461424,1138233981,1309163966,1522452449,1605747983,1643973635,1366746822,1571864586,1526594559,1646094196,1818280282,1918820633,2100792451,2072470355
634--Veneers; Plywood and Particle Board,110941117,179661975,466211478,695064020,1120378082,1158582116,1020950100,833857646,1043919998,1119715135,1355498233,1315775729,1593231623,1654922041,1604503287
633--Cork Manufactures,3083185,5888160,8690845,11546949,19176379,21606171,27640609,23209438,26706427,25123729,24553050,25497571,23533403,27127011,23151978
629--Articles Of Rubber,145287393,173951742,241740599,302836520,378921504,418193519,455411852,352407330,557434177,669325047,787229819,780108966,823094747,836596871,800131020
625--Rubber Tires and Accessories,456195123,592722545,880625261,1421612902,1903627424,2438418769,2582645644,2220467232,2321301829,2837530674,3447962826,3989829119,4309059998,2985517803,2194552100
621--Materials Of Rubber,14166588,27745227,42039279,57750226,77884738,95629798,103271032,91901510,140342988,182559715,197254481,263084006,348267580,273221513,259669808
613--Furskins; Tanned Or Dressed,2838860,4164660,3921163,3096414,2271469,4243549,4511080,3386225,3150712,3970831,2836218,3471757,3758402,3329980,2703869
612--Manufactures Of Leather,87338862,131504379,168386771,189592321,243993439,272177297,245507667,215984174,307521203,395022258,360800284,374548960,397870452,402371345,353572341
611--Leather,14189411,37009349,54048843,50492724,45258107,41510035,30616633,16929838,22409828,20266704,26575710,25473629,25292796,28285626,23079904
599--RESIDUAL PRODUCTS OF THE CHEM/ALLIES IND.; WASTES,17972,54779,156742,2385,33979,42419,249133,4291869,7317686,15655500,31542236,6861249,2882325,3056511,6572989
598--Miscellaneous Chemical Products,124543800,192420530,203314317,263629148,371929652,424428505,513071958,411937303,663133185,953700692,918791373,815267481,900611235,1034517550,998921417
597--Additives For Mineral Oils,166221,267716,275484,1002170,1464777,2699502,3287044,5475708,7010281,10957354,10298577,7952144,10415561,16637511,9907978
593--Explosives And Pyrotechnic Products,141043764,168346125,175778909,209689650,212610798,212101520,197732014,216539976,199968016,233160348,232358960,215819250,267264678,335063229,318420593
592--Starches; Inulin & Wheat Gluten; Albumin Substitu,18831704,33628835,53031058,64281431,87915028,90849256,91850172,71709529,96830725,107266764,137576368,154351115,172107243,176295977,172966673
591--Insecticides; Disinfectants,26210047,62171671,34063695,56357118,74330158,67453016,157414049,146397379,133852198,156939487,154857074,188099863,172746348,226892472,243442620
583--Monofilaments Of Plastics,4652288,5297126,8488046,15386087,22134567,25310059,29854882,20407539,22303582,28817774,32643215,37188710,39648328,34715410,49985051
582--Plates; Sheets; Film; Foil & Strip Of Plastics,116244920,137817019,200653032,316655334,419434921,498306607,502720815,440442840,578648996,692122460,771769331,841478165,908090867,939103021,971773441
581--Tubes; Pipes And Hoses Of Plastics,36624033,50909644,55803873,90723812,131026794,176722862,187088193,178643292,207296585,250873878,310151392,454633932,526562747,463704860,450773393
