Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
686--Zinc,2839099,2338444,3432298,4257272,7154974,13934966,11770087,10941588,17397726,12567160,14164304,14955306,86928178,19206300,51383657
048--Cereal Preparations,6008704,7532977,8941467,11127521,11730120,9270596,11199670,19034295,15935681,20094782,29994258,28549898,32402966,45329556,50305011
722--Tractors,11369261,5793579,12880453,19150930,10113805,19504445,22589505,48334345,76344910,59448556,38648337,32298787,86604056,46378812,49265195
281--Iron Ore And Concentrates,0,5801368,13628467,16547910,5438134,77988107,7206800,5811440,51848941,270890719,474022315,351297571,150557046,29297610,48471946
831--Trunks; Suitcases; Vanity Cases; and Briefcases,3521753,3697396,6618284,7251465,8049003,12983006,14343578,23705454,16499369,14513128,14787864,21946452,30669721,56984529,47683472
667--Pearls; Precious & Semiprecious Stones,9272446,15022473,17813661,21211877,28990299,40817372,35644993,42368999,55037598,95317312,68857179,98895403,134099368,57659584,47672526
791--Railway Vehicles & Associated Equipment,10537440,31087018,47032216,81198342,202529065,83075391,222866836,198195881,249943811,105995304,96605445,86710644,86403928,58495291,46687888
285--Aluminum Ores & Concentrates,1607445,16077880,116645435,190051581,221682632,13004164,18282709,17039918,14725839,21060985,51237293,32588327,68314780,62698968,46412159
273--Stone; Sand And Gravel,24246386,24232245,30406367,30047492,38810974,51470872,68957271,49853130,104903444,121728827,75688209,55816146,61477904,43709629,46288145
727--Food-Processing Machines (Excluding Domestic),26141131,36656151,39077844,30189096,18026474,29092108,39358689,38286543,28570119,50790001,50140701,48467838,60962575,45540671,45468975
726--Printing & Bookbinding Machinery,34928978,50144916,39588720,57479900,68236657,73276099,65263218,55939176,71553364,77819201,70279808,44446361,72507890,81525427,45000776
024--Cheese And Curd,127317,126291,450714,1193304,2843485,5531729,10181362,7454777,11907049,29063947,36559418,46768506,55236997,53516323,42835783
813--Lighting Fixtures And Fittings,13286614,29268587,15703827,20409697,19481776,26870781,29147449,26497500,28131037,35589834,35658255,37983922,47144421,58298928,42598725
054--Vegetables; Roots and Tubers; Fresh; Chilled or F,6200525,9827963,9229713,11823618,21259753,22358030,18303490,18963056,32780339,19008448,24861099,43438974,42319839,48889979,42329666
625--Rubber Tires and Accessories,2371355,4135702,5241466,6919189,14199944,23381869,36022951,33616599,49009488,52765304,60192740,67561252,52268563,35884902,42010298
665--Glassware,10052939,32995665,55941947,40398251,35464569,35545060,41233980,26343423,41328167,40800079,38911603,42190323,45489935,45142761,40581203
525--Radioactive And Associated Materials,4922490,4018645,4454685,5713370,6313071,7105857,6694895,11740953,19727317,22189314,24950682,37650842,35409508,153651230,39529124
674--Iron & Natural Steel Flat-Rolled Products,4012848,19134979,20626426,25812175,12374042,22893283,21795253,12748483,15490363,32442578,34476730,37822713,36847276,37742376,38296865
653--Woven Fabrics; Manmade Textile Material,16898741,22074964,22107188,21996797,28792895,26725336,24766834,16325797,32219897,33840826,28362071,37047418,32780307,37333797,37521199
725--Paper Mill And Pulp Mill Machines,27751338,33573679,46123353,20669010,38834897,54741012,60122676,51106614,43226582,57538979,40823115,39809593,48057640,42555470,36279552
531--Synthetic Organic Coloring Matter,8092374,11309165,13296478,17206379,17267710,23159130,17420256,16501231,22899831,26692193,28299700,31444519,39837181,40485218,36242639
266--Synthetic Fibers Suitable For Spinning,19101398,16029063,23582625,25921383,31752988,57964207,49064263,34444375,51603989,64744900,61871912,44067697,42437270,37711501,33099697
017--Meat & Edible Offal; Prepared Or Preserved,6338316,3573400,1515880,18392970,26858586,46408200,16457182,23219506,45728822,22618596,64348610,87073199,52697392,41068659,31028216
671--Pig Iron and Iron & Steel Powder,3497342,9009294,14945507,12613156,14532626,34574124,36716702,26691106,31551785,32185017,22023546,31890694,34780440,27686786,30622480
274--Sulfur And Unroasted Iron Pyrites,13663674,16613561,9954963,17669880,4528283,26085266,74969517,36959787,45529964,16438159,36988772,44695075,47930553,41873149,30430956
689--Miscellaneous Nonferrous Base Metals,14253796,36453293,65940788,453253642,594830485,165209350,159025286,27460859,37416558,36036463,35037356,37445208,49004341,51428840,29327480
793--Ships; Boats And Floatng Structures,3968024,13391338,27956288,17155543,4953473,15687604,13559120,10450058,16053889,22966349,36137985,33298731,31847675,23849141,28944374
691--Metal Structures & Parts; Iron; Steel; Aluminum,12450083,11250384,19411499,19466300,15803285,24671405,31441430,16157978,31955196,17516749,26731626,27244767,28227291,22716883,24796176
692--Metal Containers For Storage Or Transport,12619595,9111271,27780438,21232127,18229201,20910967,26200727,18189340,20314392,30004508,26594250,32037465,38974832,31515142,24786172
881--Photographic Apparatus And Equipment,38680058,38057326,56939370,41375767,27093318,19743062,14258615,15470019,33200035,44088893,18858214,22171967,17958693,34029666,24249119
